date,province_thai,province_eng,region_thai,region_eng,variable,value
2019-01-01,กรุงเทพมหานคร,Bangkok,ภาคกลาง,central,occupancy_rate,93.37
2019-01-01,ลพบุรี,Lopburi ,ภาคกลาง,central,occupancy_rate,61.32
2019-01-01,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya ,ภาคกลาง,central,occupancy_rate,73.37
2019-01-01,สระบุรี,Saraburi ,ภาคกลาง,central,occupancy_rate,67.33
2019-01-01,ชัยนาท,Chainat ,ภาคกลาง,central,occupancy_rate,79.31
2019-01-01,นครปฐม,Nakhon Pathom ,ภาคกลาง,central,occupancy_rate,71.7
2019-01-01,สิงห์บุรี,Sing Buri ,ภาคกลาง,central,occupancy_rate,64.65
2019-01-01,อ่างทอง,Ang Thong ,ภาคกลาง,central,occupancy_rate,71.21
2019-01-01,นนทบุรี,Nonthaburi ,ภาคกลาง,central,occupancy_rate,75.07
2019-01-01,ปทุมธานี,Pathum Thani ,ภาคกลาง,central,occupancy_rate,60.77
2019-01-01,สมุทรปราการ,Samut Prakan ,ภาคกลาง,central,occupancy_rate,72.5
2019-01-01,สมุทรสาคร,Samut Sakhon ,ภาคกลาง,central,occupancy_rate,61.64
2019-01-01,ฉะเชิงเทรา,Chachoengsao ,ภาคตะวันออก,east,occupancy_rate,59.4
2019-01-01,ราชบุรี,Ratchaburi ,ภาคกลาง,central,occupancy_rate,75.09
2019-01-01,กาญจนบุรี,Kanchanaburi ,ภาคกลาง,central,occupancy_rate,83.8
2019-01-01,สมุทรสงคราม,Samut Songkhram ,ภาคกลาง,central,occupancy_rate,75.6
2019-01-01,สุพรรณบุรี,Suphan Buri ,ภาคกลาง,central,occupancy_rate,89.43
2019-01-01,เพชรบุรี,Phetchaburi ,ภาคกลาง,central,occupancy_rate,81.2
2019-01-01,ประจวบคีรีขันธ์,Prachuap Khiri Khan ,ภาคกลาง,central,occupancy_rate,64.55
2019-01-01,ชลบุรี,Chonburi ,ภาคตะวันออก,east,occupancy_rate,84.33
2019-01-01,จันทบุรี,Chanthaburi ,ภาคตะวันออก,east,occupancy_rate,68.86
2019-01-01,ตราด,Trat ,ภาคตะวันออก,east,occupancy_rate,80.48
2019-01-01,นครนายก,Nakhon Nayok ,ภาคตะวันออก,east,occupancy_rate,68.39
2019-01-01,ปราจีนบุรี,Prachinburi ,ภาคตะวันออก,east,occupancy_rate,68.57
2019-01-01,ระยอง,Rayong ,ภาคตะวันออก,east,occupancy_rate,70.11
2019-01-01,สระแก้ว,Sa Kaeo ,ภาคตะวันออก,east,occupancy_rate,56.69
2019-01-01,ภูเก็ต,Phuket ,ภาคใต้,south,occupancy_rate,86.05
2019-01-01,พัทลุง,Phatthalung ,ภาคใต้,south,occupancy_rate,68.66
2019-01-01,ตรัง,Trang ,ภาคใต้,south,occupancy_rate,72.3
2019-01-01,ระนอง,Ranong ,ภาคใต้,south,occupancy_rate,59.33
2019-01-01,ชุมพร,Chumphon ,ภาคใต้,south,occupancy_rate,61.94
2019-01-01,ปัตตานี,Pattani ,ภาคใต้,south,occupancy_rate,78.47
2019-01-01,ยะลา,Yala ,ภาคใต้,south,occupancy_rate,52.53
